时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,青海省,西宁,6,22.7,9.4,62.9
1981年-2010年,青海省,西宁,7,24.8,11.6,82.3
1981年-2010年,青海省,西宁,8,24.1,11,80.8
1981年-2010年,青海省,西宁,9,19.3,7.5,61.4
1981年-2010年,青海省,西宁,10,14.1,1.3,21.1
1981年-2010年,青海省,西宁,11,8.4,-6,3.6
1981年-2010年,青海省,西宁,12,3.2,-11.9,1.6
1981年-2010年,青海省,德令哈,1,-2.9,-15.7,4.7
1981年-2010年,青海省,德令哈,2,1.5,-11.6,3.3
1981年-2010年,青海省,德令哈,3,7.3,-6.2,6.1
1981年-2010年,青海省,德令哈,4,13.3,-0.5,8.4
1981年-2010年,青海省,德令哈,5,17.9,4.9,27.6
1981年-2010年,青海省,德令哈,6,21,8.9,41
1981年-2010年,青海省,德令哈,7,23.5,11.5,47.7
1981年-2010年,青海省,德令哈,8,23.3,10.7,30.6
1981年-2010年,青海省,德令哈,9,18.8,6,22.9
1981年-2010年,青海省,德令哈,10,11.9,-1.4,6.7
1981年-2010年,青海省,德令哈,11,4.4,-8.6,1.6
1981年-2010年,青海省,德令哈,12,-1,-13.9,2.2
1981年-2010年,青海省,刚察,1,-4.6,-19.4,1
1981年-2010年,青海省,刚察,2,-1.5,-16.5,1.9
1981年-2010年,青海省,刚察,3,3.3,-11.1,5.6
1981年-2010年,青海省,刚察,4,8.3,-5,11.3
1981年-2010年,青海省,刚察,5,12.1,-0.1,37.7
1981年-2010年,青海省,刚察,6,14.6,3.6,76.6
1981年-2010年,青海省,刚察,7,17.1,6.2,88.1
1981年-2010年,青海省,刚察,8,16.7,5.4,96.2
1981年-2010年,青海省,刚察,9,13,1.9,53
1981年-2010年,青海省,刚察,10,8,-4.6,14.9
1981年-2010年,青海省,刚察,11,2.4,-12,1.7
1981年-2010年,青海省,刚察,12,-2.2,-16.9,0.8
1981年-2010年,青海省,格尔木,1,-0.8,-14.2,0.7
1981年-2010年,青海省,格尔木,2,3.6,-10.6,0.3
1981年-2010年,青海省,格尔木,3,9,-5.3,1.3
1981年-2010年,青海省,格尔木,4,14.8,0.3,1.5
1981年-2010年,青海省,格尔木,5,19.5,5.6,5.1
1981年-2010年,青海省,格尔木,6,22.9,9.9,8.9
1981年-2010年,青海省,格尔木,7,25.3,12.2,12.3
1981年-2010年,青海省,格尔木,8,24.5,11.4,8.2
1981年-2010年,青海省,格尔木,9,19.8,6.9,4.9
1981年-2010年,青海省,格尔木,10,13.2,-0.6,0.8
1981年-2010年,青海省,格尔木,11,6,-8,0.5
1981年-2010年,青海省,格尔木,12,0.2,-13,0.7
1981年-2010年,青海省,共和,1,-0.2,-15.7,1.5
1981年-2010年,青海省,共和,2,3.7,-11.7,1.7
1981年-2010年,青海省,共和,3,8.8,-5.8,5.7
1981年-2010年,青海省,共和,4,14.1,-0.3,13.7
1981年-2010年,青海省,共和,5,17.7,4.4,41.3
1981年-2010年,青海省,共和,6,20.3,8.1,56.5
1981年-2010年,青海省,共和,7,22.5,10.3,73.6
1981年-2010年,青海省,共和,8,22.2,9.5,68.2
1981年-2010年,青海省,共和,9,17.8,5.7,46
1981年-2010年,青海省,共和,10,12.5,-1,13.7
1981年-2010年,青海省,共和,11,6.5,-9,1.9
1981年-2010年,青海省,共和,12,1.1,-14.4,1.1
1981年-2010年,青海省,海晏,1,-2.1,-21.7,1.1
1981年-2010年,青海省,海晏,2,1,-17.5,1.6
1981年-2010年,青海省,海晏,3,5.5,-10.6,5.3
1981年-2010年,青海省,海晏,4,10.7,-4.4,17.4
1981年-2010年,青海省,海晏,5,14.6,0.3,44.4
1981年-2010年,青海省,海晏,6,17.2,4.1,67.8
1981年-2010年,青海省,海晏,7,19.2,6.3,88.8
1981年-2010年,青海省,海晏,8,18.8,5.5,91.3
1981年-2010年,青海省,海晏,9,14.6,2,61.1
1981年-2010年,青海省,海晏,10,9.6,-4.8,19.4
1981年-2010年,青海省,海晏,11,4.2,-13.6,3.8
1981年-2010年,青海省,海晏,12,-0.3,-19.8,1.9
1981年-2010年,青海省,河南,1,-1,-22.4,4.6
1981年-2010年,青海省,河南,2,1.4,-18.1,5.6
1981年-2010年,青海省,河南,3,5,-11.3,13.4
1981年-2010年,青海省,河南,4,9.1,-5.3,26.7
1981年-2010年,青海省,河南,5,12.3,-1,69.3
1981年-2010年,青海省,河南,6,14.7,2.7,100.2
1981年-2010年,青海省,河南,7,17,4.6,117.9
1981年-2010年,青海省,河南,8,16.8,3.5,91.5
1981年-2010年,青海省,河南,9,13.6,0.7,88.5
1981年-2010年,青海省,河南,10,8.7,-5.3,38.2
1981年-2010年,青海省,河南,11,4,-14.2,4.6
1981年-2010年,青海省,河南,12,0.7,-20.9,2.4
1981年-2010年,青海省,玛沁,1,-0.5,-21.4,2.8
1981年-2010年,青海省,玛沁,2,1.6,-17.7,4.3
1981年-2010年,青海省,玛沁,3,5.4,-11.6,8.2
1981年-2010年,青海省,玛沁,4,9.5,-6.2,19.4
1981年-2010年,青海省,玛沁,5,12.6,-1.3,55.3
1981年-2010年,青海省,玛沁,6,14.8,2.7,99.4
1981年-2010年,青海省,玛沁,7,17,4.6,115.1
1981年-2010年,青海省,玛沁,8,17,3.6,92.5
1981年-2010年,青海省,玛沁,9,14.1,1.1,79.5
1981年-2010年,青海省,玛沁,10,9.1,-4.5,32.1
1981年-2010年,青海省,玛沁,11,4.1,-13.8,3.5
1981年-2010年,青海省,玛沁,12,0.7,-20.2,1.6
1981年-2010年,青海省,平安,1,2.4,-12.3,1.3
1981年-2010年,青海省,平安,2,6.1,-8.6,1.4
1981年-2010年,青海省,平安,3,11,-2.7,5.6
1981年-2010年,青海省,平安,4,17,2.7,15.8
1981年-2010年,青海省,平安,5,20.9,7.1,43.9
1981年-2010年,青海省,平安,6,24,10.7,52.1
1981年-2010年,青海省,平安,7,26,13,72.1
1981年-2010年,青海省,平安,8,24.8,12.4,70.2
1981年-2010年,青海省,平安,9,20.2,8.8,53.4
1981年-2010年,青海省,平安,10,14.9,2.3,19.5
1981年-2010年,青海省,平安,11,9.4,-5,2.5
1981年-2010年,青海省,平安,12,4.1,-10.5,0.7
1981年-2010年,青海省,玉树,1,2.7,-14.2,3.7
1981年-2010年,青海省,玉树,2,4.8,-10.9,4.4
1981年-2010年,青海省,玉树,3,8.8,-6.1,8.9
1981年-2010年,青海省,玉树,4,12.5,-2.3,16.4
1981年-2010年,青海省,玉树,5,16,1.9,54.7
1981年-2010年,青海省,玉树,6,18.7,6,98.9
1981年-2010年,青海省,玉树,7,20.7,7.6,97.6
1981年-2010年,青海省,玉树,8,20.4,6.6,87.7
1981年-2010年,青海省,玉树,9,17.7,4.2,72.9
1981年-2010年,青海省,玉树,10,12.6,-1.5,30.8
1981年-2010年,青海省,玉树,11,7.3,-8.9,3.5
1981年-2010年,青海省,玉树,12,3.6,-13.6,2.1
1981年-2010年,青海省,班玛,1,3.6,-15.3,4.8
1981年-2010年,青海省,班玛,2,5.3,-12.1,8.3
1981年-2010年,青海省,班玛,3,8.6,-6.9,16.8
1981年-2010年,青海省,班玛,4,12.4,-2.6,33.7
1981年-2010年,青海省,班玛,5,15.5,1.6,79.4
1981年-2010年,青海省,班玛,6,17.7,5.3,132.1
1981年-2010年,青海省,班玛,7,20.1,6.7,120.3
1981年-2010年,青海省,班玛,8,19.6,6.1,101
1981年-2010年,青海省,班玛,9,17.3,3.5,104.5
1981年-2010年,青海省,班玛,10,11.8,-1.6,48.7
1981年-2010年,青海省,班玛,11,7.5,-9.3,6.6
1981年-2010年,青海省,班玛,12,4.4,-14.6,3
1981年-2010年,青海省,达日,1,-2.6,-19.8,5.6
1981年-2010年,青海省,达日,2,-0.6,-16.4,7.2
1981年-2010年,青海省,达日,3,3,-10.6,13.7
1981年-2010年,青海省,达日,4,7.2,-5.2,24.6
1981年-2010年,青海省,达日,5,11.1,-1,58.3
1981年-2010年,青海省,达日,6,13.8,2.8,114.6
1981年-2010年,青海省,达日,7,16.1,4.6,114.7
1981年-2010年,青海省,达日,8,15.8,3.6,93.1
1981年-2010年,青海省,达日,9,12.9,1.1,81.6
1981年-2010年,青海省,达日,10,7.5,-4.5,35.9
1981年-2010年,青海省,达日,11,2,-13.1,5.3
1981年-2010年,青海省,达日,12,-1.6,-19.1,3.3
1981年-2010年,青海省,大柴旦,1,-3.4,-20.3,2.3
1981年-2010年,青海省,大柴旦,2,0.1,-16.2,1.9
1981年-2010年,青海省,大柴旦,3,4.9,-10.3,3.7
1981年-2010年,青海省,大柴旦,4,10.8,-4.4,3.3
1981年-2010年,青海省,大柴旦,5,15.9,1.6,13.7
1981年-2010年,青海省,大柴旦,6,19.8,6.7,20.4
1981年-2010年,青海省,大柴旦,7,22.5,9.6,24.2
1981年-2010年,青海省,大柴旦,8,21.8,8.1,13
1981年-2010年,青海省,大柴旦,9,17,2.8,7
1981年-2010年,青海省,大柴旦,10,10,-5.4,1.5
1981年-2010年,青海省,大柴旦,11,3.1,-12.9,0.6
1981年-2010年,青海省,大柴旦,12,-1.7,-18,1.2
1981年-2010年,青海省,大通,1,0.8,-16.2,2.4
1981年-2010年,青海省,大通,2,4.7,-11.5,3
1981年-2010年,青海省,大通,3,9.4,-5.1,16.7
1981年-2010年,青海省,大通,4,15,0.1,32.2
1981年-2010年,青海省,大通,5,18.6,4.2,67.6
1981年-2010年,青海省,大通,6,21.2,7.2,81.7
1981年-2010年,青海省,大通,7,23.3,9.7,99.3
1981年-2010年,青海省,大通,8,22.3,9.3,101.5
1981年-2010年,青海省,大通,9,18.2,5.9,81.7
1981年-2010年,青海省,大通,10,12.9,0,28.8
1981年-2010年,青海省,大通,11,7.5,-7.1,4.9
1981年-2010年,青海省,大通,12,2.2,-14.1,1.9
1981年-2010年,青海省,都兰,1,-2.3,-14.7,4.1
1981年-2010年,青海省,都兰,2,0.8,-11.4,4.6
1981年-2010年,青海省,都兰,3,5.6,-6.4,7.8
1981年-2010年,青海省,都兰,4,11.2,-1.5,11.2
1981年-2010年,青海省,都兰,5,15.8,3,31.3
1981年-2010年,青海省,都兰,6,19.2,6.9,49.4
1981年-2010年,青海省,都兰,7,21.9,9.4,51.5
1981年-2010年,青海省,都兰,8,21.4,8.5,25.9
1981年-2010年,青海省,都兰,9,16.9,4.2,18.9
1981年-2010年,青海省,都兰,10,10.4,-2,6.2
1981年-2010年,青海省,都兰,11,4.1,-8.3,3.5
1981年-2010年,青海省,都兰,12,-0.4,-12.8,3.2
1981年-2010年,青海省,甘德,1,-4.3,-23.3,5.9
1981年-2010年,青海省,甘德,2,-1.9,-19.5,7.8
1981年-2010年,青海省,甘德,3,1.9,-13.5,14.1
1981年-2010年,青海省,甘德,4,6.4,-7.3,24.3
1981年-2010年,青海省,甘德,5,10.2,-2.7,59.5
1981年-2010年,青海省,甘德,6,13,1.3,106.6
1981年-2010年,青海省,甘德,7,15.3,3,106.9
1981年-2010年,青海省,甘德,8,15.1,1.8,87.9
1981年-2010年,青海省,甘德,9,12.2,-0.6,77
1981年-2010年,青海省,甘德,10,6.5,-6.6,35.5
1981年-2010年,青海省,甘德,11,0.7,-16.3,5.4
1981年-2010年,青海省,甘德,12,-3,-22.3,3
1981年-2010年,青海省,贵德,1,3.8,-12.8,0.4
1981年-2010年,青海省,贵德,2,7.2,-8.6,0.3
1981年-2010年,青海省,贵德,3,12.6,-2.8,2.1
1981年-2010年,青海省,贵德,4,18,2.1,13.5
1981年-2010年,青海省,贵德,5,21.2,6.2,34.1
1981年-2010年,青海省,贵德,6,23.6,9.5,42.3
1981年-2010年,青海省,贵德,7,25.9,11.9,52.5
1981年-2010年,青海省,贵德,8,25.8,11.7,51.6
1981年-2010年,青海省,贵德,9,21.1,7.9,42.4
1981年-2010年,青海省,贵德,10,16.2,1,12
1981年-2010年,青海省,贵德,11,10.4,-6.4,1.6
1981年-2010年,青海省,贵德,12,5,-11.1,0.5
1981年-2010年,青海省,贵南,1,0.1,-17.9,1.7
1981年-2010年,青海省,贵南,2,3.3,-14.2,3
1981年-2010年,青海省,贵南,3,7.9,-8.4,7.9
1981年-2010年,青海省,贵南,4,12.7,-2.8,19.2
1981年-2010年,青海省,贵南,5,16.1,2,58.1
1981年-2010年,青海省,贵南,6,18.4,5.7,77.9
1981年-2010年,青海省,贵南,7,20.7,7.7,91.7
1981年-2010年,青海省,贵南,8,20.7,6.7,76.8
1981年-2010年,青海省,贵南,9,16.8,3.1,57.8
1981年-2010年,青海省,贵南,10,11.5,-3.2,20
1981年-2010年,青海省,贵南,11,6.2,-11.6,1.9
1981年-2010年,青海省,贵南,12,1.6,-16.8,1.6
1981年-2010年,青海省,互助,1,1,-17.6,2.7
1981年-2010年,青海省,互助,2,3.8,-13.2,4.1
1981年-2010年,青海省,互助,3,8.3,-6.4,15.3
1981年-2010年,青海省,互助,4,14,-0.8,28.5
1981年-2010年,青海省,互助,5,17.9,3.6,64.5
1981年-2010年,青海省,互助,6,20.5,6.7,76.8
1981年-2010年,青海省,互助,7,22.6,8.8,96.2
1981年-2010年,青海省,互助,8,22,8.1,99.3
1981年-2010年,青海省,互助,9,17.6,5,77.4
1981年-2010年,青海省,互助,10,12.6,-0.7,30
1981年-2010年,青海省,互助,11,7.2,-8.4,5.7
1981年-2010年,青海省,互助,12,2.5,-15.1,2
1981年-2010年,青海省,化隆,1,-1.1,-15.8,2.7
1981年-2010年,青海省,化隆,2,1.5,-13.1,3.9
1981年-2010年,青海省,化隆,3,6,-7.4,11.8
1981年-2010年,青海省,化隆,4,11.5,-1.9,24.4
1981年-2010年,青海省,化隆,5,15.3,2.7,59.7
1981年-2010年,青海省,化隆,6,18.1,6.4,71.1
1981年-2010年,青海省,化隆,7,20.3,8.4,87.4
1981年-2010年,青海省,化隆,8,19.6,7.4,88.4
1981年-2010年,青海省,化隆,9,15.1,4.1,66.3
1981年-2010年,青海省,化隆,10,10.1,-1.3,28.5
1981年-2010年,青海省,化隆,11,5.1,-8.5,4.9
1981年-2010年,青海省,化隆,12,0.4,-13.9,2.1
1981年-2010年,青海省,尖扎,1,2.9,-11.3,0.7
1981年-2010年,青海省,尖扎,2,6.6,-7.3,0.7
1981年-2010年,青海省,尖扎,3,12.1,-1.5,5
1981年-2010年,青海省,尖扎,4,18.1,4,16.1
1981年-2010年,青海省,尖扎,5,21.8,8.2,47.7
1981年-2010年,青海省,尖扎,6,24.5,11.4,56.9
1981年-2010年,青海省,尖扎,7,26.7,13.6,74.7
1981年-2010年,青海省,尖扎,8,26,13.2,70.2
1981年-2010年,青海省,尖扎,9,21.1,9.4,55.1
1981年-2010年,青海省,尖扎,10,15.8,3.1,18.4
1981年-2010年,青海省,尖扎,11,10,-4.5,1.3
1981年-2010年,青海省,尖扎,12,4.2,-9.9,0.4
1981年-2010年,青海省,久治,1,1.3,-18.5,5.4
1981年-2010年,青海省,久治,2,2.9,-15.3,9.1
1981年-2010年,青海省,久治,3,5.9,-9.2,20.5
1981年-2010年,青海省,久治,4,9.5,-4.2,40.9
1981年-2010年,青海省,久治,5,12.6,-0.3,87.3
1981年-2010年,青海省,久治,6,14.8,3.5,138
1981年-2010年,青海省,久治,7,17.1,5.4,133.5
1981年-2010年,青海省,久治,8,17.1,4.4,117.2
1981年-2010年,青海省,久治,9,14.2,2.1,109.5
1981年-2010年,青海省,久治,10,9.8,-3.1,59.5
1981年-2010年,青海省,久治,11,5.5,-11,8.2
1981年-2010年,青海省,久治,12,2.4,-16.9,3.3
1981年-2010年,青海省,乐都,1,2.7,-12.2,1.2
1981年-2010年,青海省,乐都,2,6,-8.5,1.6
1981年-2010年,青海省,乐都,3,11.2,-2.5,7.1
1981年-2010年,青海省,乐都,4,17.6,3.1,15.2
1981年-2010年,青海省,乐都,5,21.6,7.4,43.6
1981年-2010年,青海省,乐都,6,24.6,11,51.8
1981年-2010年,青海省,乐都,7,26.7,13.4,66.5
1981年-2010年,青海省,乐都,8,25.6,13,70.6
1981年-2010年,青海省,乐都,9,20.8,9.1,49.9
1981年-2010年,青海省,乐都,10,15.5,2.5,18.5
1981年-2010年,青海省,乐都,11,9.7,-4.5,2.5
1981年-2010年,青海省,乐都,12,3.9,-10.2,0.9
1981年-2010年,青海省,冷湖,1,-2.5,-19.9,0.4
1981年-2010年,青海省,冷湖,2,1.4,-16.5,0.2
1981年-2010年,青海省,冷湖,3,6.8,-10.7,0.3
1981年-2010年,青海省,冷湖,4,13.1,-4.7,0.4
1981年-2010年,青海省,冷湖,5,18.5,1.6,1.7
1981年-2010年,青海省,冷湖,6,22.8,6.8,2.8
1981年-2010年,青海省,冷湖,7,25.4,9.9,4.5
1981年-2010年,青海省,冷湖,8,24.4,8.3,2.6
1981年-2010年,青海省,冷湖,9,19.3,2.8,2
1981年-2010年,青海省,冷湖,10,11.8,-5.8,0.2
1981年-2010年,青海省,冷湖,11,4.2,-13.7,0.1
1981年-2010年,青海省,冷湖,12,-1.5,-18.8,0.3
1981年-2010年,青海省,玛多,1,-7,-22.7,3.9
1981年-2010年,青海省,玛多,2,-4.4,-19.5,4.7
1981年-2010年,青海省,玛多,3,-0.2,-14.2,9.5
1981年-2010年,青海省,玛多,4,4.5,-8.8,12.1
1981年-2010年,青海省,玛多,5,8.4,-3.6,32.7
1981年-2010年,青海省,玛多,6,11.4,0.5,60.3
1981年-2010年,青海省,玛多,7,14,3,72.4
1981年-2010年,青海省,玛多,8,13.8,2.2,62.6
1981年-2010年,青海省,玛多,9,10.3,-0.9,49.6
1981年-2010年,青海省,玛多,10,4.1,-7.2,19
1981年-2010年,青海省,玛多,11,-2,-16.2,3.3
1981年-2010年,青海省,玛多,12,-5.8,-21.5,2.3
1981年-2010年,青海省,茫崖,1,-3.1,-17.5,0.7
1981年-2010年,青海省,茫崖,2,1.8,-13.7,0.6
1981年-2010年,青海省,茫崖,3,7.7,-7.9,1.2
1981年-2010年,青海省,茫崖,4,13.6,-2.3,1.6
1981年-2010年,青海省,茫崖,5,17.9,2.9,6.6
1981年-2010年,青海省,茫崖,6,21.5,7.6,14.8
1981年-2010年,青海省,茫崖,7,24,10.5,13.3
1981年-2010年,青海省,茫崖,8,23.5,9.2,6.9
1981年-2010年,青海省,茫崖,9,19.1,4.3,4.3
1981年-2010年,青海省,茫崖,10,11.7,-3.9,0.7
1981年-2010年,青海省,茫崖,11,4.3,-11,0.1
1981年-2010年,青海省,茫崖,12,-2,-16.1,0.4
1981年-2010年,青海省,门源,1,-2.1,-20.4,2
1981年-2010年,青海省,门源,2,1.7,-16.1,4.4
1981年-2010年,青海省,门源,3,5.9,-9.4,18
1981年-2010年,青海省,门源,4,11,-3.5,32.4
1981年-2010年,青海省,门源,5,15,0.9,70.2
1981年-2010年,青海省,门源,6,18,4.2,86
1981年-2010年,青海省,门源,7,20,6.1,99.9
1981年-2010年,青海省,门源,8,19.5,5.2,105.4
1981年-2010年,青海省,门源,9,15.7,2.4,79.9
1981年-2010年,青海省,门源,10,10.3,-3.3,27
1981年-2010年,青海省,门源,11,4.3,-12.1,4.3
1981年-2010年,青海省,门源,12,-0.7,-18.5,1.8
1981年-2010年,青海省,民和,1,1.4,-11.2,1.6
1981年-2010年,青海省,民和,2,5.4,-7.1,2.8
1981年-2010年,青海省,民和,3,11.1,-1.4,10
1981年-2010年,青海省,民和,4,17.8,4.2,19
1981年-2010年,青海省,民和,5,22,8.7,46.5
1981年-2010年,青海省,民和,6,25.2,12.4,46.8
1981年-2010年,青海省,民和,7,27.4,14.7,59.5
1981年-2010年,青海省,民和,8,26.1,13.9,73.1
1981年-2010年,青海省,民和,9,21,9.9,50.9
1981年-2010年,青海省,民和,10,15.3,3.4,24
1981年-2010年,青海省,民和,11,8.9,-3.1,2.9
1981年-2010年,青海省,民和,12,2.7,-9.1,1
1981年-2010年,青海省,囊谦,1,3.7,-12.9,2.8
1981年-2010年,青海省,囊谦,2,5.9,-9.7,4.1
1981年-2010年,青海省,囊谦,3,9.5,-5.5,6.9
1981年-2010年,青海省,囊谦,4,13.2,-1.9,15.2
1981年-2010年,青海省,囊谦,5,16.8,2.3,55.9
1981年-2010年,青海省,囊谦,6,19.3,6.6,115.5
1981年-2010年,青海省,囊谦,7,21,8.1,118.7
1981年-2010年,青海省,囊谦,8,20.6,7.4,103.9
1981年-2010年,青海省,囊谦,9,18.3,4.9,81.6
1981年-2010年,青海省,囊谦,10,13.5,-0.6,32.1
1981年-2010年,青海省,囊谦,11,8.4,-7.8,4.3
1981年-2010年,青海省,囊谦,12,4.8,-12.2,1.2
1981年-2010年,青海省,祁连,1,-2.5,-20.1,1.2
1981年-2010年,青海省,祁连,2,1.4,-16.5,1.4
1981年-2010年,青海省,祁连,3,6.2,-10.6,7.1
1981年-2010年,青海省,祁连,4,11.7,-4,14.5
1981年-2010年,青海省,祁连,5,15.9,0.9,45.5
1981年-2010年,青海省,祁连,6,19.1,4.8,72.5
1981年-2010年,青海省,祁连,7,21.1,7.1,104.2
1981年-2010年,青海省,祁连,8,20.5,5.9,90.4
1981年-2010年,青海省,祁连,9,16.7,2.3,60.2
1981年-2010年,青海省,祁连,10,11.2,-4.4,15.6
1981年-2010年,青海省,祁连,11,4.6,-12.9,1.8
1981年-2010年,青海省,祁连,12,-1.3,-18.4,0.6
1981年-2010年,青海省,曲麻莱,1,-4.2,-21.8,3.4
1981年-2010年,青海省,曲麻莱,2,-1.8,-18.6,3.4
1981年-2010年,青海省,曲麻莱,3,2.4,-13.4,6.7
1981年-2010年,青海省,曲麻莱,4,6.7,-8.6,11.9
1981年-2010年,青海省,曲麻莱,5,10.5,-3.3,38.2
1981年-2010年,青海省,曲麻莱,6,13.3,1.4,86.7
1981年-2010年,青海省,曲麻莱,7,16,3.6,95.5
1981年-2010年,青海省,曲麻莱,8,15.7,2.6,81.7
1981年-2010年,青海省,曲麻莱,9,12.2,-0.1,68.7
1981年-2010年,青海省,曲麻莱,10,6.5,-7.2,21.5
1981年-2010年,青海省,曲麻莱,11,0.6,-16.1,2.6
1981年-2010年,青海省,曲麻莱,12,-3,-21.1,2.1
1981年-2010年,青海省,天峻,1,-3.7,-21.5,1
1981年-2010年,青海省,天峻,2,-1,-18.9,1.6
1981年-2010年,青海省,天峻,3,3.4,-13.6,6.6
1981年-2010年,青海省,天峻,4,8.7,-7.5,13.7
1981年-2010年,青海省,天峻,5,12.7,-2.3,43.4
1981年-2010年,青海省,天峻,6,15.1,2,81.1
1981年-2010年,青海省,天峻,7,17.4,4.7,90.1
1981年-2010年,青海省,天峻,8,17.2,3.6,71.1
1981年-2010年,青海省,天峻,9,13.6,-0.2,43.9
1981年-2010年,青海省,天峻,10,8.2,-7.4,9.8
1981年-2010年,青海省,天峻,11,2.3,-14.8,0.8
1981年-2010年,青海省,天峻,12,-2,-19.1,0.5
1981年-2010年,青海省,同德,1,-1.1,-22.3,2.7
1981年-2010年,青海省,同德,2,2.1,-18.1,3.2
1981年-2010年,青海省,同德,3,6.6,-11.7,8.4
1981年-2010年,青海省,同德,4,11,-5.9,19.2
1981年-2010年,青海省,同德,5,14.5,-0.1,54.1
1981年-2010年,青海省,同德,6,16.5,4,83.9
1981年-2010年,青海省,同德,7,18.5,5.3,91.2
1981年-2010年,青海省,同德,8,18.9,3.9,72
1981年-2010年,青海省,同德,9,14.9,0.6,64
1981年-2010年,青海省,同德,10,10.1,-5.5,23.1
1981年-2010年,青海省,同德,11,5.1,-14.9,2.7
1981年-2010年,青海省,同德,12,0.8,-20.6,1.3
1981年-2010年,青海省,同仁,1,1.3,-12.2,2.5
1981年-2010年,青海省,同仁,2,4.8,-9.2,3.9
1981年-2010年,青海省,同仁,3,10.1,-3.9,11
1981年-2010年,青海省,同仁,4,15.7,1.4,22.6
1981年-2010年,青海省,同仁,5,18.9,5.8,58
1981年-2010年,青海省,同仁,6,21.3,9.1,64.5
1981年-2010年,青海省,同仁,7,23.5,11.2,80.4
1981年-2010年,青海省,同仁,8,23.4,10.5,70.8
1981年-2010年,青海省,同仁,9,18.7,7.4,65.1
1981年-2010年,青海省,同仁,10,13.6,1.4,25.9
1981年-2010年,青海省,同仁,11,8.1,-5.4,3.1
1981年-2010年,青海省,同仁,12,2.7,-10.6,0.8
1981年-2010年,青海省,乌兰,1,-2,-17.4,1.7
1981年-2010年,青海省,乌兰,2,2,-13.1,1.8
1981年-2010年,青海省,乌兰,3,7.2,-7,3.7
1981年-2010年,青海省,乌兰,4,12.9,-1.5,8.4
1981年-2010年,青海省,乌兰,5,17.4,3.6,25.7
1981年-2010年,青海省,乌兰,6,20.3,7.5,40.7
1981年-2010年,青海省,乌兰,7,22.7,9.7,49.8
1981年-2010年,青海省,乌兰,8,22.5,8.9,29.9
1981年-2010年,青海省,乌兰,9,18.3,5,23.2
1981年-2010年,青海省,乌兰,10,11.9,-2.2,4.9
1981年-2010年,青海省,乌兰,11,4.7,-10.2,1
1981年-2010年,青海省,乌兰,12,-0.7,-15.8,1
1981年-2010年,青海省,兴海,1,-0.7,-19.3,1.5
1981年-2010年,青海省,兴海,2,2.2,-15.6,1.6
1981年-2010年,青海省,兴海,3,6.6,-10.1,5.7
1981年-2010年,青海省,兴海,4,11.2,-4.3,12.7
1981年-2010年,青海省,兴海,5,14.4,0.6,49.5
1981年-2010年,青海省,兴海,6,16.5,4.5,77.4
1981年-2010年,青海省,兴海,7,18.8,6.8,87.3
1981年-2010年,青海省,兴海,8,18.9,5.7,69.2
1981年-2010年,青海省,兴海,9,15.1,2.3,54.7
1981年-2010年,青海省,兴海,10,10,-4.2,15.8
1981年-2010年,青海省,兴海,11,4.8,-12.5,1.3
1981年-2010年,青海省,兴海,12,0.6,-17.8,1.2
1981年-2010年,青海省,循化,1,3.6,-10.6,0.4
1981年-2010年,青海省,循化,2,7,-6.7,0.4
1981年-2010年,青海省,循化,3,12.4,-1.1,2.5
1981年-2010年,青海省,循化,4,18.5,4,10
1981年-2010年,青海省,循化,5,21.9,7.9,34
1981年-2010年,青海省,循化,6,24.8,11.2,43.4
1981年-2010年,青海省,循化,7,27.1,13.7,66.2
1981年-2010年,青海省,循化,8,26.4,13.4,58
1981年-2010年,青海省,循化,9,21.7,9.7,42.4
1981年-2010年,青海省,循化,10,16.5,3.5,13.7
1981年-2010年,青海省,循化,11,10.8,-4.2,0.6
1981年-2010年,青海省,循化,12,5,-9,0.2
1981年-2010年,青海省,杂多,1,-2,-17.3,7.6
1981年-2010年,青海省,杂多,2,0.2,-14.3,7
1981年-2010年,青海省,杂多,3,4.5,-9.4,9.8
1981年-2010年,青海省,杂多,4,8.8,-5,14.9
1981年-2010年,青海省,杂多,5,12.7,-0.5,53.3
1981年-2010年,青海省,杂多,6,15.6,4,121.4
1981年-2010年,青海省,杂多,7,18.1,6,113.2
1981年-2010年,青海省,杂多,8,17.8,5.3,96.3
1981年-2010年,青海省,杂多,9,15,2.7,80.4
1981年-2010年,青海省,杂多,10,9.4,-3.5,28.3
1981年-2010年,青海省,杂多,11,3.5,-11.1,4.8
1981年-2010年,青海省,杂多,12,-0.4,-16,3.8
1981年-2010年,青海省,泽库,1,-2.9,-21.3,3.1
1981年-2010年,青海省,泽库,2,-0.4,-18.4,4.4
1981年-2010年,青海省,泽库,3,3.3,-12.8,11.1
1981年-2010年,青海省,泽库,4,7.5,-6.7,23.8
1981年-2010年,青海省,泽库,5,10.8,-2,55
1981年-2010年,青海省,泽库,6,13.2,1.7,87.4
1981年-2010年,青海省,泽库,7,15.5,3.7,107.4
1981年-2010年,青海省,泽库,8,15.4,2.8,87.2
1981年-2010年,青海省,泽库,9,11.9,0.1,80.1
1981年-2010年,青海省,泽库,10,6.8,-5.6,29.4
1981年-2010年,青海省,泽库,11,2,-14.3,3.2
1981年-2010年,青海省,泽库,12,-1.4,-19.7,1.3
