时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,天津市,静海,3,12.5,1.3,10.2
1981年-2010年,天津市,静海,4,21.1,8.8,21.3
1981年-2010年,天津市,静海,5,26.8,14.7,40.8
1981年-2010年,天津市,静海,6,30.8,19.8,80.8
1981年-2010年,天津市,静海,7,31.6,22.7,153.7
1981年-2010年,天津市,静海,8,30.5,21.8,112.1
1981年-2010年,天津市,静海,9,26.7,16.1,50.5
1981年-2010年,天津市,静海,10,20,9.1,27.9
1981年-2010年,天津市,静海,11,10.6,0.7,11.3
1981年-2010年,天津市,静海,12,3.8,-5.3,2.9
1981年-2010年,天津市,宁河,1,1.1,-9.1,2.9
1981年-2010年,天津市,宁河,2,4.7,-5.9,3.7
1981年-2010年,天津市,宁河,3,10.9,0.3,8.4
1981年-2010年,天津市,宁河,4,19.3,8.3,21.4
1981年-2010年,天津市,宁河,5,25,14.2,42.8
1981年-2010年,天津市,宁河,6,28.6,19,73.8
1981年-2010年,天津市,宁河,7,30.2,22.4,181.6
1981年-2010年,天津市,宁河,8,29.7,21.6,145.1
1981年-2010年,天津市,宁河,9,26,16.1,50.7
1981年-2010年,天津市,宁河,10,19.2,8.7,29.4
1981年-2010年,天津市,宁河,11,9.9,0.3,10.3
1981年-2010年,天津市,宁河,12,3,-5.9,4.4
1981年-2010年,天津市,武清,1,1.6,-8.3,2.4
1981年-2010年,天津市,武清,2,5.5,-5.2,3.6
1981年-2010年,天津市,武清,3,12.1,0.9,8.8
1981年-2010年,天津市,武清,4,20.8,8.6,22.5
1981年-2010年,天津市,武清,5,26.5,14.4,38.4
1981年-2010年,天津市,武清,6,30.2,19.1,76.9
1981年-2010年,天津市,武清,7,31.2,22.4,151.4
1981年-2010年,天津市,武清,8,30.3,21.5,125.6
1981年-2010年,天津市,武清,9,26.4,15.9,50.4
1981年-2010年,天津市,武清,10,19.6,8.6,24.9
1981年-2010年,天津市,武清,11,10.1,0.1,10.6
1981年-2010年,天津市,武清,12,3.3,-5.7,2.5
1981年-2010年,天津市,西青,1,2,-7.4,2.5
1981年-2010年,天津市,西青,2,5.7,-4.4,3.6
1981年-2010年,天津市,西青,3,12.2,1.7,8.1
1981年-2010年,天津市,西青,4,20.9,9.3,22.1
1981年-2010年,天津市,西青,5,26.5,15.1,36.8
1981年-2010年,天津市,西青,6,30.2,20,79.7
1981年-2010年,天津市,西青,7,31.3,22.9,149.8
1981年-2010年,天津市,西青,8,30.5,22.2,124.1
1981年-2010年,天津市,西青,9,26.6,16.7,44.7
1981年-2010年,天津市,西青,10,19.9,9.4,26.5
1981年-2010年,天津市,西青,11,10.6,1.1,10.8
1981年-2010年,天津市,西青,12,3.8,-5,2.8
1981年-2010年,河北省,石家庄,1,3.6,-5.8,4.1
1981年-2010年,河北省,石家庄,2,7.5,-2.5,6.3
1981年-2010年,河北省,石家庄,3,13.9,3,12.1
1981年-2010年,河北省,石家庄,4,21.8,10,19.5
1981年-2010年,河北省,石家庄,5,27.4,15.7,42.3
1981年-2010年,河北省,石家庄,6,32,20.5,57.4
1981年-2010年,河北省,石家庄,7,32.2,23,127.1
1981年-2010年,河北省,石家庄,8,30.5,21.8,146.5
1981年-2010年,河北省,石家庄,9,26.9,16.7,55.8
1981年-2010年,河北省,石家庄,10,20.8,9.9,25.9
1981年-2010年,河北省,石家庄,11,11.8,1.8,14.8
1981年-2010年,河北省,石家庄,12,5.3,-3.5,4.5
1981年-2010年,河北省,保定,1,2.5,-6.7,2.4
1981年-2010年,河北省,保定,2,6.6,-3.4,3.7
1981年-2010年,河北省,保定,3,13.3,2.3,9.8
1981年-2010年,河北省,保定,4,21.5,9.6,20.5
1981年-2010年,河北省,保定,5,27.1,15.4,34.6
1981年-2010年,河北省,保定,6,31.6,20.3,67.4
1981年-2010年,河北省,保定,7,32,23.1,155.5
